Enumeración;Tipo;Tipo N/V;N° Doc.;Id Destinatario;Destinatario;Id Cliente;Razón social;Vendedor;Fecha Emisión;Fecha 1°Entrega;Orden Compra Cliente;Tipo de Expedición;Dirección Destinatario;Comuna;Ciudad;Persona de Contacto;Teléfono;Código Artículo;Descripción;Un.medida venta;Espesor;Jerarquía 1;Texto Jerarquía 1;Jerarquía 2;Texto Jerarquía 2;Jerarquía 3;Texto Jerarquía 3;Largo;Ctd. Solicitada;Ctd. Despachada;Ctd. Pendiente;Kilos Solicitados;Kilos Despachados;Kilos Pendientes;Status Global Pedido SAP;Status de Crédito;Status de Entrega Pos. Pedido SAP;Stock San Bernardo;Stock Lonquén;Total Libre utilización;Stock Disponible San Bernardo;Stock Disponible Lonquen;Precio Unitario;Venta Total;Precio Kilo;Comentario Documento;N° Doc.Ent.;Ctd. Entrega;Fecha Entrega;N° Doc.FU;Ctd. FU;Fecha FU
;ZO08;Ped.B2B carga Autom.;47381;96792HC55;SOD CROSS HC55LINARES;96792430;SODIMAC S.A.;CORPORATIVO SODIMAC;11-03-2025;20-03-2025;16105272;SOD/EASY TiendaCross;AV.LEON BUSTOS 0376;LINARES;LINARES;;;41000116;P. Ab. Canal 100x50x3,0x6000mm;UN;3;11111;Perfiles Abiertos;1111100002;Perf. Ab.Canal;1,1111E+17;Perf. Ab. Canal 3,0 mm;6.000,00;4;0;4;107,52;0;107,52;Concluido;No realizado;Entrg.completamente;13;0;13;-370;0;25.082;100.328;933;;80364868;4;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47381;96792HC55;SOD CROSS HC55LINARES;96792430;SODIMAC S.A.;CORPORATIVO SODIMAC;11-03-2025;20-03-2025;16105272;SOD/EASY TiendaCross;AV.LEON BUSTOS 0376;LINARES;LINARES;;;41000133;P. Ab. Canal 150x50x2,0x6000mm;UN;2;11111;Perfiles Abiertos;1111100002;Perf. Ab.Canal;1,1111E+17;Perf. Ab. Canal 2,0 mm;6.000,00;8;0;8;183,36;0;183,36;Concluido;No realizado;Entrg.completamente;1.910;0;1.910;1.600;0;21.387;171.096;933;;80364868;8;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47381;96792HC55;SOD CROSS HC55LINARES;96792430;SODIMAC S.A.;CORPORATIVO SODIMAC;11-03-2025;20-03-2025;16105272;SOD/EASY TiendaCross;AV.LEON BUSTOS 0376;LINARES;LINARES;;;41000134;P. Ab. Canal 150x50x3,0x6000mm;UN;3;11111;Perfiles Abiertos;1111100002;Perf. Ab.Canal;1,1111E+17;Perf. Ab. Canal 3,0 mm;6.000,00;4;0;4;135,84;0;135,84;Concluido;No realizado;Entrg.completamente;2.439;0;2.439;2.234;0;31.689;126.756;933;;80364868;4;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47381;96792HC55;SOD CROSS HC55LINARES;96792430;SODIMAC S.A.;CORPORATIVO SODIMAC;11-03-2025;20-03-2025;16105272;SOD/EASY TiendaCross;AV.LEON BUSTOS 0376;LINARES;LINARES;;;41000002;P. Ab. Angulo 25x25x2,0x6000mm;UN;2;11111;Perfiles Abiertos;1111100001;Perf. Ab. Angulo;1,1111E+17;Perf. Ab. Angulo 2,0 mm;6.000,00;60;0;60;262,8;0;262,8;Concluido;No realizado;Entrg.completamente;7.746;0;7.746;7.146;0;4.087;245.220;933;;80364868;60;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47381;96792HC55;SOD CROSS HC55LINARES;96792430;SODIMAC S.A.;CORPORATIVO SODIMAC;11-03-2025;20-03-2025;16105272;SOD/EASY TiendaCross;AV.LEON BUSTOS 0376;LINARES;LINARES;;;42000066;Mek.Canal Estruct.62x25x0,85x3000mm;UN;0,85;88888;Mekanocon;8888800001;Mekanocon Estructural;8,8888E+17;Canal Estructural 0,85;3.000,00;66;0;66;142,56;0;142,56;Concluido;No realizado;Entrg.completamente;17.250;0;17.250;13.207;0;2.396;158.136;1.109;;80364868;66;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47381;96792HC55;SOD CROSS HC55LINARES;96792430;SODIMAC S.A.;CORPORATIVO SODIMAC;11-03-2025;20-03-2025;16105272;SOD/EASY TiendaCross;AV.LEON BUSTOS 0376;LINARES;LINARES;;;40000316;Tubo Cuad.100x100x3,0x6000mm;UN;3;22222;Tubos;2222200001;Tubo Cuadrado;2,2222E+17;Tubo Cuadrado 3,0;6.000,00;4;0;4;215,04;0;215,04;Concluido;No realizado;Entrg.completamente;1.721;0;1.721;1.189;0;52.022;208.088;968;;80364868;4;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47381;96792HC55;SOD CROSS HC55LINARES;96792430;SODIMAC S.A.;CORPORATIVO SODIMAC;11-03-2025;20-03-2025;16105272;SOD/EASY TiendaCross;AV.LEON BUSTOS 0376;LINARES;LINARES;;;40000028;Tubo Rect.70x30x2,0x6000mm;UN;2;22222;Tubos;2222200002;Tubo Rectangulo;2,2222E+17;Tubo Rectangulo 2,0;6.000,00;10;0;10;175,8;0;175,8;Concluido;No realizado;Entrg.completamente;4.691;0;4.691;4.283;0;17.012;170.120;968;;80364868;10;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47381;96792HC55;SOD CROSS HC55LINARES;96792430;SODIMAC S.A.;CORPORATIVO SODIMAC;11-03-2025;20-03-2025;16105272;SOD/EASY TiendaCross;AV.LEON BUSTOS 0376;LINARES;LINARES;;;42000098;Mek. Canal 61x20x0,50x3000mm;UN;0,5;88888;Mekanocon;8888800003;Mekanocon Cielos;8,8888E+17;Canal Perimetral Cielo;3.000,00;144;0;144;168,48;0;168,48;Concluido;No realizado;Entrg.completamente;18.323;0;18.323;14.293;0;1.298;186.912;1.109;;80364870;144;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47381;96792HC55;SOD CROSS HC55LINARES;96792430;SODIMAC S.A.;CORPORATIVO SODIMAC;11-03-2025;20-03-2025;16105272;SOD/EASY TiendaCross;AV.LEON BUSTOS 0376;LINARES;LINARES;;;40000050;Tubo Rect.100x50x3,0x6000mm;UN;3;22222;Tubos;2222200002;Tubo Rectangulo;2,2222E+17;Tubo Rectangulo 3,0;6.000,00;8;0;8;316,8;0;316,8;Concluido;No realizado;Entrg.completamente;0;0;0;-451;0;38.320;306.560;968;;80364870;8;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47402;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315527;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;42000102;Mek. Esquinero 30x30x0,4x3000mm;UN;0,4;88888;Mekanocon;8888800002;Mekanocon Tabiques;8,8888E+17;Esquinero Tabique 30;3.000,00;400;0;400;216;0;216;Concluido;No realizado;Entrg.completamente;4.286;0;4.286;2.775;0;699;279.600;1.294;;80364879;400;12-03-2025;;0;
